road,km,segments,czones,crashes_total,crashes_fatal,crashes_per_km,wl_points,wl_events,cv_covered_segs,cv_images,cv_detections,cv_damage_per_frame
Auchandi Border Road,2.3,3,0,0,0,0.0,0,0,0,0,0,
Bawana Road,4.7,9,0,0,0,0.0,0,0,0,0,0,
ITO Flyover,1.3,9,0,0,0,0.0,3,3,9,24,1,0.0417
Nizamuddin Road Flyover,1.1,6,0,0,0,0.0,0,0,0,0,0,
DND Flyway,6.1,8,0,0,0,0.0,1,1,0,0,0,
Dadri Road,3.6,13,0,0,0,0.0,0,0,0,0,0,
Delhi - Meerut Expressway,20.3,71,0,0,0,0.0,0,0,6,48,0,0.0
National Highway 24 Bypass Flyover,1.5,8,0,0,0,0.0,0,0,7,55,1,0.0182
Road Number 57,5.6,16,0,0,0,0.0,1,2,0,0,0,
Karkari Mor Flyover,1.8,6,0,0,0,0.0,0,0,0,0,0,
Akshardham Flyover,1.4,9,0,0,0,0.0,0,0,0,0,0,
Noida Link Road,0.6,2,0,0,0,0.0,0,0,0,0,0,
NH24 Bypass,2.5,11,0,0,0,0.0,0,0,0,0,0,
Jangpura Road Flyover,2.0,30,0,0,0,0.0,0,0,26,173,9,0.052
Kalkaji Flyover,0.6,3,0,0,0,0.0,0,0,3,24,2,0.0833
Khelgaon Flyover,1.2,6,0,0,0,0.0,0,0,4,31,8,0.2581
IIT Flyover,3.5,12,0,0,0,0.0,0,0,12,88,8,0.0909
Ho Chi Minh Marg,3.6,11,0,0,0,0.0,1,1,2,3,0,0.0
Chirag Delhi Flyover,1.6,6,0,0,0,0.0,0,0,5,12,1,0.0833
Rao Tula Ram Marg,4.2,5,0,0,0,0.0,1,1,2,10,0,0.0
Nehru Place Flyover,1.2,8,0,0,0,0.0,1,1,0,0,0,
Savitri Flyover,0.5,3,0,0,0,0.0,1,1,0,0,0,
Mall Road,0.9,3,0,0,0,0.0,0,0,0,0,0,
Arihant Marg,4.5,14,0,0,0,0.0,1,2,0,0,0,
Shaheed Captain Vikram Batra Flyover,1.6,11,0,0,0,0.0,0,0,0,0,0,
Panjabi bagh Underpass,0.8,4,0,0,0,0.0,0,0,0,0,0,
Bhera Enclave Underpass,1.4,6,0,0,0,0.0,0,0,0,0,0,
Prembari Underpass,0.8,9,0,0,0,0.0,0,0,0,0,0,
Shri Hans Maharaj Flyover,1.8,12,0,0,0,0.0,0,0,0,0,0,
Ch Brahm Prakash Flyover,1.3,6,0,0,0,0.0,1,1,0,0,0,
Moti Nagar Flyover,0.5,5,0,0,0,0.0,0,0,0,0,0,
Naraina flyover,3.4,9,0,0,0,0.0,1,1,7,41,1,0.0244
Doctor Kailash Nath Katju Marg,7.5,19,0,0,0,0.0,4,4,0,0,0,
Dabri Gurgaon Road,0.4,1,0,0,0,0.0,0,0,0,0,0,
Bawana road,13.6,21,0,0,0,0.0,0,0,0,0,0,
Okhla Estate Marg Flyover,1.6,10,0,0,0,0.0,1,2,3,3,0,0.0
Dabri Palam Road,3.9,5,0,0,0,0.0,0,0,2,16,0,0.0
Pankha Road Flyover,0.7,3,0,0,0,0.0,0,0,0,0,0,
SH18,1.4,4,0,0,0,0.0,0,0,0,0,0,
Baba Banda Singh Bahadur Setu,7.2,8,0,0,0,0.0,2,4,7,56,0,0.0
Barapullah Road,1.0,2,0,0,0,0.0,0,0,0,0,0,
Nangloi Flyover,2.3,6,0,0,0,0.0,1,1,0,0,0,
Delhi Road,2.4,6,0,0,0,0.0,1,1,0,0,0,
NH344P,12.2,30,0,0,0,0.0,0,0,0,0,0,
Hanuman Mandir Flyover,0.4,5,0,0,0,0.0,0,0,5,38,1,0.0263
G.T Road,1.1,3,0,0,0,0.0,0,0,1,6,4,0.6667
Loni Road,20.3,27,0,0,0,0.0,2,2,0,0,0,
NH9,5.4,10,0,0,0,0.0,0,0,0,0,0,
Wazirabad Road,12.1,30,0,0,0,0.0,2,4,0,0,0,
Masoodpur Flyover,0.7,3,0,0,0,0.0,0,0,0,0,0,
Munirka Flyover,2.6,8,0,0,0,0.0,0,0,5,9,0,0.0
Bharthal Railway Underpass,1.4,12,0,0,0,0.0,0,0,12,88,7,0.0795
Kirby Place Junction,0.0,2,0,0,0,0.0,0,0,0,0,0,
Pankha Road,6.0,13,0,0,0,0.0,2,2,0,0,0,
Sham Nath Marg,2.4,5,0,0,0,0.0,1,1,0,0,0,
Road Number 201,1.2,4,0,0,0,0.0,1,1,4,32,3,0.0938
