sno,road,location,dates,frequency
189,Veer Banda Bairagi Marg,Azad Market underpass,14.07.2021 08.08.2021 21.08.2021 01.09.2021 11.09.2021,5
190,Vikas Marg,Infront of WHO Building,29.07.2021 01.08.2021,2
191,Wazirabad Road,Bhajanpura main market towards Wazirabad,28.07.2021,1
192,Wazirabad Road,Main Market Khajuri,21.08.2021,1
193,Wazirabad Road,Near Bhajanpura Bus Stand,29.07.2021,1
194,Wazirabad Road,near Bhajanpura Mazar,14.07.2021 19.07.2021 28.07.2021,3
195,Wazirabad Road,Near Khajuri towards Brijpuri,11.09.2021,1
196,Wazirabad Road,Yamuna Vihar towards Khajuri Khas both carriageway,01.08.2021,1
197,DAVP Marg,CISF Cut,21.08.2021,1
198,Lala Lajpat Rai Marg,Jangpura Metro Station,21.08.2021,1
199,Lala Lajpat Rai Marg,Lajpat Nagar Metro Station,21.08.2021,1
200,Palam Road,Mehram Nagar Underpass,21.08.2021,1
201,--,Rajokari Underpass,21.08.2021,1
202,NH-48 Gurugram Road,Sanjay T-Point,21.08.2021,1
203,--,Babar Chowk,21.08.2021,1
204,--,Bakkarwala,21.08.2021,1
205,J.B. Tito Marg,Central School Andrewz Ganj,21.08.2021,1
206,GT Road,Chintamani Flyover,21.08.2021,1
207,"Jhilmil Industrial Area, Railway Road",Kasturba Nagar Underpass,21.08.2021,1
208,--,Monkey Bridge Saleemgarh,21.08.2021,1
209,--,Okhla Mandi,21.08.2021,1
210,--,Rithala Metro Station,21.08.2021,1
211,SSN Marg,Y-Point Chattarpur,21.08.2021,1
