segment_id,road,way_id,highway,km,mid_lon,mid_lat
najafgarh-nangloi-road_35311044_0,Najafgarh Nangloi Road,35311044,primary,1.035,77.012998,28.641463
najafgarh-nangloi-road_35311044_1,Najafgarh Nangloi Road,35311044,primary,1.026,77.021659,28.646368
najafgarh-nangloi-road_35311044_2,Najafgarh Nangloi Road,35311044,primary,0.493,77.027569,28.649738
najafgarh-nangloi-road_35311045_0,Najafgarh Nangloi Road,35311045,primary,0.052,76.999853,28.631061
najafgarh-nangloi-road_35311164_0,Najafgarh Nangloi Road,35311164,primary,1.012,77.053896,28.665648
najafgarh-nangloi-road_35311164_1,Najafgarh Nangloi Road,35311164,primary,0.187,77.050231,28.662522
nangloi-road_35311167_0,Nangloi road,35311167,primary,0.016,77.049403,28.662032
rd-no-224_35823388_0,Rd. No. 224,35823388,primary,0.015,77.071756,28.594942
dabri-dwarka-road_35823389_0,Dabri Dwarka Road,35823389,primary,1.028,77.072461,28.605206
dabri-dwarka-road_35823389_1,Dabri Dwarka Road,35823389,primary,0.719,77.083122,28.610754
bikaji-cama-place-flyover_36326998_0,Bikaji Cama Place Flyover,36326998,primary,0.515,77.191133,28.569444
mahatma-gandhi-marg_36326999_0,Mahatma Gandhi Marg,36326999,primary,0.329,77.193963,28.569431
nelson-mandela-marg_37751252_0,Nelson Mandela Marg,37751252,primary,1.071,77.153786,28.536746
nelson-mandela-marg_37751252_1,Nelson Mandela Marg,37751252,primary,0.75,77.159228,28.544802
mahatma-gandhi-marg_37751254_0,Mahatma Gandhi Marg,37751254,primary,0.079,77.258174,28.57223
mahatma-gandhi-marg_37751255_0,Mahatma Gandhi Marg,37751255,primary,0.164,77.257652,28.572261
mahatma-gandhi-marg_38699434_0,Mahatma Gandhi Marg,38699434,trunk,0.695,77.23436,28.666822
mathura-road_39013511_0,Mathura Road,39013511,primary,0.762,77.24648,28.589265
ashram-railway-flyover_39013518_0,Ashram Railway Flyover,39013518,primary,0.248,77.254994,28.570397
ashram-railway-flyover_39013520_0,Ashram Railway Flyover,39013520,primary,0.15,77.256064,28.570819
ashram-railway-flyover_39013521_0,Ashram Railway Flyover,39013521,primary,0.076,77.254106,28.569006
ashram-flyover_39013522_0,Ashram Flyover,39013522,motorway,0.747,77.264743,28.576794
mahatma-gandhi-marg_39013523_0,Mahatma Gandhi Marg,39013523,primary,0.592,77.263763,28.576174
ashram-flyover_39013524_0,Ashram Flyover,39013524,motorway,0.423,77.25825,28.572426
mahatma-gandhi-marg_39013525_0,Mahatma Gandhi Marg,39013525,primary,0.04,77.256783,28.571294
delhi-dehradun-expressway_40102594_0,Delhi-Dehradun Expressway,40102594,motorway,0.652,77.269251,28.640686
mahipalpur-flyover_40138011_0,Mahipalpur Flyover,40138011,motorway,1.083,77.119574,28.544439
mahipalpur-flyover_40138011_1,Mahipalpur Flyover,40138011,motorway,0.528,77.12544,28.548028
acharya-shri-tulsi-marg_42944885_0,Acharya Shri Tulsi Marg,42944885,trunk,1.067,77.168656,28.502296
acharya-shri-tulsi-marg_42944885_1,Acharya Shri Tulsi Marg,42944885,trunk,0.686,77.159495,28.498286
mahatma-gandhi-marg_43359324_0,Mahatma Gandhi Marg,43359324,primary,0.132,77.21069,28.569311
raj-nagar-flyover_44315437_0,Raj Nagar Flyover,44315437,primary,0.458,77.200138,28.569785
raj-nagar-flyover_44315438_0,Raj Nagar Flyover,44315438,primary,0.474,77.200241,28.569868
aiims-flyover_44315450_0,AIIMS Flyover,44315450,primary,0.207,77.208207,28.569244
mahatma-gandhi-marg_44315451_0,Mahatma Gandhi Marg,44315451,primary,0.365,77.20399,28.569533
aiims-flyover_44315456_0,AIIMS Flyover,44315456,primary,0.135,77.209156,28.570688
moolchand-underpass_44316338_0,Moolchand Underpass,44316338,primary,0.078,77.234486,28.565438
moolchand-underpass_44316339_0,Moolchand Underpass,44316339,primary,0.078,77.233681,28.565436
south-extension-flyover_44316345_0,South Extension Flyover,44316345,primary,0.529,77.224184,28.568354
mahatma-gandhi-marg_44316346_0,Mahatma Gandhi Marg,44316346,primary,0.291,77.230513,28.565909
ashram-railway-flyover_44317039_0,Ashram Railway Flyover,44317039,primary,0.126,77.254316,28.569702
moti-bagh-flyover_44317158_0,Moti Bagh Flyover,44317158,primary,0.526,77.174972,28.58032
moti-bagh-flyover_44317159_0,Moti Bagh Flyover,44317159,primary,0.519,77.176303,28.57825
mehrauli-badarpur-road_45734464_0,Mehrauli Badarpur Road,45734464,primary,1.022,77.243946,28.51216
mehrauli-badarpur-road_45734464_1,Mehrauli Badarpur Road,45734464,primary,0.271,77.237861,28.513013
mehrauli-badarpur-road_45734465_0,Mehrauli Badarpur Road,45734465,primary,1.061,77.242863,28.512311
mehrauli-badarpur-road_45734465_1,Mehrauli Badarpur Road,45734465,primary,0.093,77.24818,28.512085
rd-no-224_47290483_0,Rd. No. 224,47290483,primary,0.956,77.071962,28.598664
dwarka-palam-road_47290485_0,Dwarka-Palam Road,47290485,primary,0.497,77.126,28.568485
dwarka-flyover_47290486_0,Dwarka Flyover,47290486,primary,0.523,77.082459,28.591947
dwarka-flyover_47290489_0,Dwarka Flyover,47290489,primary,1.023,77.089124,28.585372
dwarka-flyover_47290489_1,Dwarka Flyover,47290489,primary,0.378,77.082782,28.589717
dwarka-palam-road_47290491_0,Dwarka-Palam Road,47290491,primary,1.111,77.106473,28.57812
dwarka-palam-road_47290491_1,Dwarka-Palam Road,47290491,primary,0.764,77.09917,28.580237
dwarka-palam-road_47290494_0,Dwarka-Palam Road,47290494,primary,1.027,77.101402,28.579732
dwarka-palam-road_47290494_1,Dwarka-Palam Road,47290494,primary,0.849,77.108465,28.577574
yakshini-chowk-underpass_47290501_0,Yakshini Chowk Underpass,47290501,primary,0.34,77.121437,28.5719
dwarka-flyover_59035939_0,Dwarka Flyover,59035939,primary,0.123,77.078074,28.593264
auchandi-border-road_60882614_0,Auchandi Border Road,60882614,primary,0.902,77.032963,28.801928
bawana-road_60882632_0,Bawana Road,60882632,primary,0.271,77.035082,28.79886
nityanand-marg_70214078_0,Nityanand Marg,70214078,primary,0.054,77.227796,28.668938
nityanand-marg_70214098_0,Nityanand Marg,70214098,primary,0.917,77.21936,28.666884
mahatma-gandhi-marg_70214104_0,Mahatma Gandhi Marg,70214104,trunk,0.211,77.234366,28.666301
mahatma-gandhi-marg_70220642_0,Mahatma Gandhi Marg,70220642,trunk,1.153,77.248914,28.61952
mahatma-gandhi-marg_70220642_1,Mahatma Gandhi Marg,70220642,trunk,0.011,77.250307,28.615156
vikas-marg_70220643_0,Vikas Marg,70220643,primary,0.686,77.283185,28.634214
ito-flyover_70220645_0,ITO Flyover,70220645,trunk,0.273,77.246937,28.627529
ito-flyover_70220647_0,ITO Flyover,70220647,trunk,0.485,77.24682,28.627533
ring-road_70220650_0,Ring Road,70220650,trunk,0.362,77.241906,28.660535
ito-flyover_70220654_0,ITO Flyover,70220654,trunk,0.026,77.246779,28.631008
vikas-marg_70255387_0,Vikas Marg,70255387,primary,0.583,77.259349,28.628166
vikas-marg_70255388_0,Vikas Marg,70255388,primary,0.104,77.251081,28.628118
vikas-marg_70255391_0,Vikas Marg,70255391,primary,0.054,77.252147,28.628133
vikas-marg_70255398_0,Vikas Marg,70255398,primary,0.12,77.253378,28.628139
vikas-marg_70255407_0,Vikas Marg,70255407,primary,0.366,77.268146,28.628228
mahatma-gandhi-marg_70258948_0,Mahatma Gandhi Marg,70258948,trunk,1.119,77.253542,28.60474
mahatma-gandhi-marg_70258948_1,Mahatma Gandhi Marg,70258948,trunk,1.041,77.249781,28.61636
mahatma-gandhi-marg_70258948_2,Mahatma Gandhi Marg,70258948,trunk,0.646,77.248168,28.621299
mahatma-gandhi-marg_70258954_0,Mahatma Gandhi Marg,70258954,primary,0.488,77.258118,28.590236
mahatma-gandhi-marg_70258955_0,Mahatma Gandhi Marg,70258955,primary,0.106,77.259628,28.586417
nizamuddin-road-flyover_70258957_0,Nizamuddin Road Flyover,70258957,trunk,0.537,77.256516,28.595761
mahatma-gandhi-marg_70258960_0,Mahatma Gandhi Marg,70258960,trunk,0.284,77.257021,28.594268
mahatma-gandhi-marg_70258963_0,Mahatma Gandhi Marg,70258963,primary,0.331,77.257769,28.59243
mahatma-gandhi-marg_70258965_0,Mahatma Gandhi Marg,70258965,primary,0.485,77.266805,28.579915
nizamuddin-railway-station-flyover_70258966_0,Nizamuddin Railway Station Flyover,70258966,trunk,0.45,77.257853,28.591359
dnd-flyway_71435185_0,DND Flyway,71435185,motorway,0.705,77.295889,28.580105
dadri-road_71605351_0,Dadri Road,71605351,trunk,0.081,77.299032,28.585575
dadri-road_71605370_0,Dadri Road,71605370,trunk,0.062,77.299289,28.585432
dadri-road_71605465_0,Dadri Road,71605465,trunk,0.065,77.299685,28.585432
delhi-meerut-expressway_72002966_0,Delhi - Meerut Expressway,72002966,motorway,0.172,77.327058,28.63051
delhi-meerut-expressway_72002968_0,Delhi - Meerut Expressway,72002968,motorway,0.136,77.256521,28.598641
delhi-meerut-expressway_72002996_0,Delhi - Meerut Expressway,72002996,motorway,0.675,77.321037,28.628426
swami-dayanand-marg_76702389_0,Swami Dayanand Marg,76702389,primary,0.01,77.314282,28.636424
national-highway-24-bypass-flyover_76702787_0,National Highway 24 Bypass Flyover,76702787,trunk,0.249,77.329796,28.631112
road-number-57_76727403_0,Road Number 57,76727403,primary,0.32,77.310375,28.636091
road-number-57_76727472_0,Road Number 57,76727472,primary,0.067,77.314241,28.636421
road-number-57_76727604_0,Road Number 57,76727604,primary,0.067,77.313562,28.636294
karkari-mor-flyover_76733233_0,Karkari Mor Flyover,76733233,primary,0.015,77.301455,28.641048
karkari-mor-flyover_76733238_0,Karkari Mor Flyover,76733238,primary,0.836,77.299037,28.643754
road-number-57_76733280_0,Road Number 57,76733280,primary,1.075,77.291222,28.65636
road-number-57_76733280_1,Road Number 57,76733280,primary,1.004,77.284239,28.66542
