segment_id,cv_images,cv_detections,cv_damage_per_frame
delhi-meerut-expressway_747966458_0,8,0,0.0
delhi-meerut-expressway_747966459_0,8,0,0.0
doctor-kb-hedgewar-marg_1243662600_0,8,0,0.0
doctor-kb-hedgewar-marg_202762524_0,8,0,0.0
doctor-kb-hedgewar-marg_202762524_1,7,0,0.0
doctor-kb-hedgewar-marg_290137949_0,8,0,0.0
doctor-kb-hedgewar-marg_290137949_1,8,0,0.0
doctor-kb-hedgewar-marg_615472619_0,8,0,0.0
doctor-kb-hedgewar-marg_619372060_0,8,0,0.0
doctor-kb-hedgewar-marg_619372062_0,5,0,0.0
doctor-kb-hedgewar-marg_619372063_0,7,0,0.0
doctor-kb-hedgewar-marg_619372064_0,8,1,0.125
doctor-kb-hedgewar-marg_619372065_0,7,1,0.1429
doctor-kb-hedgewar-marg_619372066_0,8,0,0.0
dwarka-expressway_1116324313_2,8,0,0.0
dwarka-expressway_1116324313_3,8,0,0.0
dwarka-expressway_1116324313_4,8,0,0.0
dwarka-expressway_1116324313_5,8,0,0.0
dwarka-expressway_1116324313_6,8,1,0.125
dwarka-expressway_1116324313_7,8,0,0.0
dwarka-expressway_1116324313_8,8,0,0.0
dwarka-expressway_1116324314_0,8,0,0.0
dwarka-expressway_1116324314_1,8,0,0.0
dwarka-expressway_1116324314_2,8,0,0.0
dwarka-expressway_1116324314_3,8,0,0.0
dwarka-expressway_1116324314_4,8,0,0.0
dwarka-expressway_1116324314_5,8,0,0.0
dwarka-expressway_1118691951_0,8,0,0.0
dwarka-expressway_1118834166_0,8,0,0.0
dwarka-expressway_1118959406_0,8,1,0.125
dwarka-expressway_1118978390_0,4,0,0.0
dwarka-expressway_1268836497_0,8,2,0.25
dwarka-expressway_1268836498_0,8,1,0.125
dwarka-expressway_1276018672_0,6,0,0.0
dwarka-expressway_1288469171_0,7,5,0.7143
dwarka-expressway_1288469172_0,5,3,0.6
dwarka-expressway_1288469173_0,5,0,0.0
dwarka-expressway_1288469174_0,3,0,0.0
dwarka-expressway_1288469175_0,4,1,0.25
dwarka-expressway_1309546294_0,8,1,0.125
dwarka-expressway_1321798283_0,2,0,0.0
dwarka-expressway_1362479091_0,8,1,0.125
dwarka-expressway_1430449913_0,2,1,0.5
dwarka-expressway_1430449914_0,1,1,1.0
dwarka-expressway_31806390_0,8,2,0.25
dwarka-flyover_1272726054_0,8,0,0.0
dwarka-flyover_1272726055_0,8,0,0.0
dwarka-flyover_47290486_0,8,2,0.25
dwarka-flyover_47290489_0,1,0,0.0
dwarka-flyover_47290489_1,8,0,0.0
dwarka-flyover_532686697_0,8,1,0.125
dwarka-flyover_532739760_0,8,0,0.0
dwarka-flyover_555197184_0,8,0,0.0
dwarka-flyover_59035939_0,8,1,0.125
dwarka-flyover_608894515_0,1,0,0.0
g-t-road_175800253_0,6,4,0.6667
gt-road_1310466272_0,4,1,0.25
gt-road_175800244_0,5,3,0.6
gt-road_175800263_0,6,2,0.3333
gt-road_175804082_0,4,4,1.0
gt-road_175804092_0,5,3,0.6
hanuman-mandir-flyover_1313200454_0,8,1,0.125
hanuman-mandir-flyover_1313200455_0,8,0,0.0
hanuman-mandir-flyover_1313200461_0,7,0,0.0
hanuman-mandir-flyover_175800219_0,7,0,0.0
hanuman-mandir-flyover_175800226_0,8,0,0.0
ho-chi-minh-marg_1156936620_0,1,0,0.0
ho-chi-minh-marg_541887314_1,2,0,0.0
iit-flyover_1312165813_0,8,0,0.0
iit-flyover_1312165814_0,8,0,0.0
iit-flyover_1312165815_0,8,0,0.0
iit-flyover_1312165816_0,8,0,0.0
iit-flyover_1312168631_0,6,0,0.0
iit-flyover_1312168632_0,3,0,0.0
iit-flyover_1312168633_0,7,1,0.1429
iit-flyover_532693131_0,8,0,0.0
iit-flyover_532737422_0,8,2,0.25
iit-flyover_532737429_0,8,0,0.0
iit-flyover_77363928_0,8,4,0.5
iit-flyover_77363994_0,8,1,0.125
ito-flyover_1313447924_0,2,0,0.0
ito-flyover_1313447925_0,2,0,0.0
ito-flyover_1313447927_0,2,0,0.0
ito-flyover_1313447929_0,2,0,0.0
ito-flyover_1313447930_0,2,0,0.0
ito-flyover_1510242193_0,2,0,0.0
ito-flyover_70220645_0,5,0,0.0
ito-flyover_70220647_0,4,0,0.0
ito-flyover_70220654_0,3,1,0.3333
jangpura-road-flyover_1253189591_0,5,0,0.0
jangpura-road-flyover_1253189592_0,8,0,0.0
jangpura-road-flyover_1253189593_0,8,0,0.0
jangpura-road-flyover_1253189594_0,4,0,0.0
jangpura-road-flyover_1312806547_0,5,0,0.0
jangpura-road-flyover_1451897494_0,6,0,0.0
jangpura-road-flyover_584241783_0,8,0,0.0
jangpura-road-flyover_661351480_0,2,0,0.0
jangpura-road-flyover_661351482_0,6,0,0.0
jangpura-road-flyover_704527733_0,3,0,0.0
jangpura-road-flyover_704527734_0,2,0,0.0
jangpura-road-flyover_707163415_0,8,0,0.0
jangpura-road-flyover_707163416_0,8,0,0.0
jangpura-road-flyover_707163417_0,8,0,0.0
jangpura-road-flyover_707163418_0,8,1,0.125
jangpura-road-flyover_715377036_0,7,0,0.0
jangpura-road-flyover_715377037_0,7,0,0.0
jangpura-road-flyover_715377038_0,8,0,0.0
jangpura-road-flyover_715377039_0,6,1,0.1667
jangpura-road-flyover_77015779_0,8,0,0.0
jangpura-road-flyover_77015802_0,8,2,0.25
jangpura-road-flyover_77015815_0,8,0,0.0
jangpura-road-flyover_77015834_0,8,0,0.0
jangpura-road-flyover_77349457_0,8,1,0.125
jangpura-road-flyover_77349475_0,8,1,0.125
jangpura-road-flyover_77349531_0,8,3,0.375
kalkaji-flyover_577665918_0,8,0,0.0
kalkaji-flyover_77355798_0,8,1,0.125
kalkaji-flyover_77355803_0,8,1,0.125
khelgaon-flyover_514521567_0,8,3,0.375
khelgaon-flyover_77363924_0,8,3,0.375
khelgaon-flyover_77364016_0,7,2,0.2857
khelgaon-flyover_77364029_0,8,0,0.0
lajpat-nagar-flyover_1313027075_0,8,0,0.0
lajpat-nagar-flyover_566680382_0,3,1,0.3333
lajpat-nagar-flyover_566680385_0,8,0,0.0
lajpat-nagar-flyover_572511729_0,8,0,0.0
lajpat-nagar-flyover_583143701_0,8,0,0.0
mahatma-gandhi-marg-bridge_77862360_0,8,1,0.125
mahatma-gandhi-marg-bridge_77862374_0,8,0,0.0
mahatma-gandhi-marg-bridge_77862400_0,3,0,0.0
mahatma-gandhi-marg-bridge_77862409_0,1,0,0.0
mahatma-gandhi-marg_1285857335_0,8,1,0.125
mahatma-gandhi-marg_1285857337_0,8,0,0.0
mahatma-gandhi-marg_1285857338_0,8,2,0.25
mahatma-gandhi-marg_1285857339_0,8,0,0.0
mahatma-gandhi-marg_1312009498_0,8,0,0.0
mahatma-gandhi-marg_1324343885_0,6,0,0.0
mahatma-gandhi-marg_1324343886_0,8,1,0.125
mahatma-gandhi-marg_1499142541_0,8,0,0.0
mahatma-gandhi-marg_1499142542_0,7,0,0.0
mahatma-gandhi-marg_189610307_0,7,0,0.0
mahatma-gandhi-marg_189610310_0,8,0,0.0
mahatma-gandhi-marg_202675176_0,8,1,0.125
mahatma-gandhi-marg_202830264_0,8,0,0.0
mahatma-gandhi-marg_25457965_0,8,0,0.0
mahatma-gandhi-marg_25524672_0,8,0,0.0
mahatma-gandhi-marg_28412396_0,8,0,0.0
mahatma-gandhi-marg_28412404_0,8,0,0.0
mahatma-gandhi-marg_28746244_1,8,0,0.0
mahatma-gandhi-marg_297086687_0,8,0,0.0
mahatma-gandhi-marg_312031901_0,8,0,0.0
mahatma-gandhi-marg_36326999_0,8,1,0.125
mahatma-gandhi-marg_37751254_0,8,1,0.125
mahatma-gandhi-marg_37751255_0,8,0,0.0
mahatma-gandhi-marg_38699434_0,8,0,0.0
mahatma-gandhi-marg_39013523_0,2,0,0.0
mahatma-gandhi-marg_39013525_0,8,0,0.0
mahatma-gandhi-marg_395885023_0,8,0,0.0
mahatma-gandhi-marg_44316346_0,8,0,0.0
mahatma-gandhi-marg_555197195_0,8,0,0.0
mahatma-gandhi-marg_555197196_0,7,0,0.0
mahatma-gandhi-marg_555197199_0,3,0,0.0
mahatma-gandhi-marg_567831190_0,8,1,0.125
mahatma-gandhi-marg_581239050_0,4,0,0.0
mahatma-gandhi-marg_584241781_0,5,1,0.2
mahatma-gandhi-marg_584241795_0,2,0,0.0
mahatma-gandhi-marg_585446269_0,8,2,0.25
mahatma-gandhi-marg_585446270_0,8,0,0.0
mahatma-gandhi-marg_5873630_0,8,0,0.0
mahatma-gandhi-marg_614071993_0,3,1,0.3333
mahatma-gandhi-marg_615472620_0,8,0,0.0
mahatma-gandhi-marg_619116050_0,8,0,0.0
mahatma-gandhi-marg_619116074_0,8,0,0.0
mahatma-gandhi-marg_619116075_0,8,0,0.0
mahatma-gandhi-marg_657413479_0,3,0,0.0
mahatma-gandhi-marg_668313662_0,8,0,0.0
mahatma-gandhi-marg_679552314_0,8,0,0.0
mahatma-gandhi-marg_70214104_0,8,1,0.125
mahatma-gandhi-marg_733803586_0,2,0,0.0
mahatma-gandhi-marg_733804241_0,2,0,0.0
mahatma-gandhi-marg_760525680_0,1,0,0.0
mahatma-gandhi-marg_77617232_0,8,1,0.125
mahatma-gandhi-marg_77860407_0,8,0,0.0
mahatma-gandhi-marg_77862392_0,8,0,0.0
mahatma-gandhi-marg_77862398_0,8,0,0.0
mahatma-gandhi-marg_77862405_0,8,1,0.125
mahatma-gandhi-marg_77862411_0,8,0,0.0
mahatma-gandhi-road_202762525_0,8,0,0.0
mahatma-gandhi-road_395885025_0,8,0,0.0
mahipalpur-flyover_1201412916_0,8,0,0.0
mahipalpur-flyover_1312967329_0,8,1,0.125
mahipalpur-flyover_1312967331_0,8,1,0.125
mahipalpur-flyover_1312967332_0,8,1,0.125
mahipalpur-flyover_1312967333_0,8,0,0.0
mahipalpur-flyover_169324593_0,8,0,0.0
mahipalpur-flyover_205771485_0,8,0,0.0
mahipalpur-flyover_205771485_1,7,0,0.0
mahipalpur-flyover_40138011_0,8,0,0.0
mahipalpur-flyover_40138011_1,8,2,0.25
mathura-road_1078707437_0,2,0,0.0
mathura-road_1078707438_0,2,0,0.0
mathura-road_1090402162_0,8,0,0.0
mathura-road_1125820041_0,3,1,0.3333
mathura-road_1125820042_0,1,0,0.0
mathura-road_170455027_0,8,0,0.0
mathura-road_170455156_0,8,1,0.125
mathura-road_170455204_0,8,0,0.0
mathura-road_172701715_1,4,0,0.0
mathura-road_202645529_0,8,1,0.125
mathura-road_258237309_0,3,0,0.0
mathura-road_258237309_1,6,0,0.0
mathura-road_39013511_0,8,0,0.0
mathura-road_581371938_0,8,0,0.0
mathura-road_581371939_0,3,0,0.0
